mx_standard,my_standard,mz_standard,r_2_standard
7.784945810284224e-14,5.872226183324349e-13,-9.112582634962652e-14,0.9991924659563016
3.0477419448654993e-13,4.975744627693816e-13,-3.2786644485247215e-14,0.998192803446697
1.48479174517404e-13,1.2673311097846908e-13,4.0938328168301577e-13,0.9972896904951563
4.250089139034929e-14,2.0115052174588927e-15,7.741645231146891e-14,0.9983015832153656
2.535730611929757e-13,5.755912294344813e-13,-2.563338114505559e-13,0.9998106054264899
-1.7298508802760785e-16,-9.523641568680008e-14,1.2379596298212198e-13,0.9985605142018943
2.5869040161677334e-13,-1.384983330918355e-13,-4.754294206591062e-14,0.9947396311146679
1.0381136740681681e-13,1.5811674499095267e-13,-1.1401400276239153e-12,0.9943439654642463
4.794554583815452e-14,1.0643992075596369e-13,-7.575574003308862e-14,0.9986647512669439
-8.954256732115525e-13,3.4272422541487287e-13,-4.2984894297025563e-13,0.9992368989139718
-5.010122294057219e-14,2.0381703248122827e-15,4.3711795609563927e-13,0.9973195460884212
3.224157876722487e-14,1.268258267290704e-13,-1.2388839562811315e-13,0.9989765979716048
5.565002030774463e-14,-1.072804453988657e-13,-1.0096180558408937e-13,0.995443028187458
5.94896542914367e-14,-8.899184971878501e-14,-1.3292324969379723e-13,0.998306136024792
-4.603308044875868e-13,-4.995144752706275e-13,-2.496391435218918e-13,0.9990182494813846
4.084341609516167e-14,7.687956907048652e-14,-4.993646009979678e-14,0.9986795439154414
-1.489663591942399e-13,-2.4565546194086603e-13,1.6460240407339854e-13,0.9977306805222808
7.26616896916064e-14,-2.087065260735138e-14,-2.0573277772475644e-14,0.9989885814681483
5.534963117993716e-14,9.818348378246369e-14,-5.985371792668765e-14,0.998980741235609
7.80526153139473e-14,6.179099213556484e-14,-1.614504448435708e-13,0.9898218049733142
-9.404816829696636e-15,-9.892704795561604e-14,-3.044986218305426e-14,0.9985699540729965
1.1305044943914268e-13,3.1450628363195854e-14,-8.707034748529916e-14,0.9988426560650654
-1.8289581134461527e-13,-8.208185050353855e-15,1.269503279773443e-14,0.9990491883397375
9.785055197244163e-14,3.5829806830151034e-14,-3.0028045607895935e-15,0.9966411981002976
1.6393864950677994e-14,4.827332368950138e-14,-5.831856501338314e-14,0.9911976590584125
1.4631214866449773e-13,1.0824031400035402e-13,-7.586857416280577e-14,0.9935629803987982
-1.425045159669644e-13,-9.414161022954151e-14,-4.740892702805754e-14,0.9987076754103987
-1.354780909261681e-13,1.1461932018827413e-13,-1.1349302073679534e-13,0.9982119113567833
-1.3903057718487767e-14,1.8222820690059244e-13,-6.104002452993249e-14,0.9991706621010343
5.3165892583133103e-14,-8.488773136254548e-14,-3.1054782608467534e-13,0.9990052021872339
-1.0906430939938633e-14,6.766558743989067e-15,-6.91418146214199e-14,0.9985322170407318
4.7302709133695265e-14,1.0079309167297899e-13,-1.1656193400147377e-13,0.9987074256092953
1.7357456909244452e-13,1.5885059555258803e-13,9.117270635802759e-14,0.9934182403940939
2.5398536744512826e-14,3.4217608945650815e-14,-4.7887287896254713e-14,0.9959616400855039
-1.9114588556931902e-13,-8.494800819184621e-14,4.860010899951803e-14,0.9984023936726133
6.05306814299303e-14,3.6431605112410865e-14,-9.455991958856123e-14,0.9956192874016025
-7.984849539618264e-15,1.1479682448338167e-13,-8.504936642111886e-14,0.9932929352756033
-2.1033561146097124e-14,-2.6584915892008928e-14,5.256751655750132e-14,0.9221479227918787
-2.1240347850592338e-13,-1.4828272185101437e-13,2.014227576060168e-14,0.9993920957935493
1.1798999393844376e-14,8.868051857657369e-15,-1.3078010530454436e-13,0.9990409583174669
-7.996036733614148e-14,4.008486679875193e-14,-9.927208283150951e-14,0.998802049949225
9.913207692788835e-14,-1.7084189426284973e-14,-4.4515211074793704e-13,0.9957731792434675
6.4050869324363755e-15,4.910794778563499e-14,1.8904356110384194e-14,0.9902172076456986
1.2682508975585022e-14,4.277853916058633e-14,-2.6321877671431836e-14,0.9922010279301594
2.1556590752566977e-14,3.551191586553493e-14,-3.711877534196059e-14,0.9949018848017585
6.927424407608289e-14,-1.0057322154459317e-13,7.161554618576573e-14,0.8437590401272006
-7.354317394574451e-14,6.444669698550303e-14,2.1272717377727964e-13,0.9987650529474802
-2.456945555584064e-15,6.042367903476546e-14,-3.974313599439877e-14,0.9987003410241696
-3.788840683866599e-15,-8.448171088522235e-14,8.011335178243393e-14,0.9898139082224433
1.2166966935847327e-13,2.764339258746273e-13,-2.4260180857453406e-13,0.9981324984710214
