mx_standard,my_standard,mz_standard,r_2_standard
1.6397290390585324e-13,9.185787120079943e-14,1.5280557840522546e-13,0.9986924944569214
9.97748870556158e-14,-1.0075052206346216e-13,-2.34853098835449e-13,0.9993900704557022
9.161674447790692e-14,2.52552706857558e-14,-4.005367605850378e-13,0.9985057571000389
6.662101435275512e-14,2.783284139068699e-13,-6.355720457381536e-14,0.9990148169123197
-9.939966142456007e-14,1.9491508636755199e-13,-1.1146613500334307e-13,0.9995169184019677
6.655138226854527e-14,-2.1833244325815145e-14,1.7510711775756164e-13,0.9987274398730841
4.2605792615438256e-13,-3.647766115727649e-13,2.2162676192079064e-13,0.9990857497804579
7.66291481467901e-14,1.867175693769951e-14,-7.71660044778894e-14,0.9990736840896389
-5.6303130147405434e-14,9.686065568862489e-14,-3.912634934164092e-13,0.9997444357535751
2.949486835920537e-13,-1.33799564905071e-13,-6.352467588541063e-13,0.9997993495281174
1.1368734180433067e-13,1.6483435924177655e-13,-1.0235941812512111e-13,0.9996586481467147
1.8322146803637342e-13,-3.511546912271635e-14,1.7695785110807341e-13,0.9953136887165034
-4.369133076799221e-15,2.5886282060379658e-14,-4.799941695225359e-14,0.9982452550639431
1.626166363269922e-14,4.352851241936202e-14,-4.056319821830718e-15,0.9990128633192309
-1.2536389028459581e-14,5.096000850466437e-14,8.760538544757293e-15,0.9992948624227269
4.685654904539024e-14,1.0956087353395706e-14,2.8584682155269335e-15,0.9991323124996522
-1.632022601328465e-14,9.011022857388742e-15,-2.6303307173481727e-14,0.9987306908828513
9.981602497131901e-15,3.0474240645567877e-14,-1.9457900219862804e-14,0.998628911657421
2.855847363842814e-13,2.796261506723506e-13,-2.202128320846089e-13,0.9997687989810492
6.525744337862869e-14,3.743279279759092e-14,-2.190892494109732e-14,0.9987853138900141
2.5061906616617273e-14,4.24849426914849e-14,-3.9892389318905515e-14,0.9987470472790477
-6.0132066595052986e-15,5.061267642187615e-14,-6.29806096973107e-14,0.9990698087432875
2.6739158036041305e-14,2.7697258372716254e-14,-9.339102587177026e-16,0.9982338844876814
3.963042580651988e-14,3.624916839135088e-14,-4.5498995577603625e-15,0.9992308719282798
1.8646860294846553e-14,6.10222000470147e-14,-1.9867537664049346e-14,0.99900603924725
-3.211558426292735e-14,-3.3286768652782075e-14,-4.2861179365645305e-14,0.9932116463208842
1.478961474350115e-14,4.469453366606778e-14,-5.5803866565194666e-14,0.998654772759035
8.08724029129169e-15,6.247411993647814e-14,-4.470024699513498e-16,0.9960518322976271
-9.046944451167979e-15,2.4245613790432176e-14,4.180571765694441e-15,0.9988962715154169
5.232673076267723e-14,-5.1506087531269254e-14,-9.314904926908322e-14,0.9906355678632455
2.8278877908585417e-14,4.643860571868891e-14,-3.173387554704189e-14,0.9991671778122572
2.0040228339605468e-14,4.188162256677824e-14,-2.500120270195114e-14,0.996631117155218
-1.0137289937243337e-14,1.9419534294283528e-14,9.249735340044036e-15,0.9987950363108875
8.433348443961434e-14,1.5836440375318315e-13,-1.1926183453793675e-13,0.9997664287998554
2.3398477283960258e-14,1.807324645927222e-14,-2.7720535894891112e-14,0.9963136394544266
-1.34268206733615e-14,3.9349774190781814e-14,-8.415795533276903e-14,0.9967127025459739
2.2517360752714485e-14,3.807229404050601e-14,-1.840319244662033e-14,0.9995074259604996
-8.636248330321107e-14,1.4165634369506914e-13,-1.353060647741775e-13,0.9987138830087948
2.3385999144136032e-14,3.729671564562306e-14,-1.4545093226205964e-14,0.9989795024776176
2.968159973736763e-14,-3.5669126618679646e-14,-1.1140896776213586e-14,0.9995774840992552
6.5966485475107706e-15,1.3079764988318542e-14,-1.3087632054841143e-14,0.9982872533984156
1.766842821424472e-14,1.6617363367829212e-14,-1.3346174695568377e-14,0.9986676790120259
6.864805670846737e-14,3.403864569704281e-14,-3.9434013438624175e-14,0.9994941994898551
2.3527158319988472e-14,3.938150329353018e-14,-2.620173810154021e-14,0.9992779516007656
-1.4191006596207505e-14,3.5982302077756603e-14,-9.118704135551533e-15,0.9925965953457763
1.0163165995834722e-14,1.7437113553701184e-14,-1.1672017648484231e-14,0.9990947305622027
1.1108169810278892e-14,2.0221245065675035e-14,-9.871082351922564e-15,0.9988238363702836
2.068947549247487e-14,2.1879277146328032e-14,-2.6714758839022566e-14,0.9988782084176523
3.445485920997936e-14,1.5806531471476104e-13,-3.102904136870809e-14,0.9992680703530183
7.556604256591768e-15,1.2715549188937926e-14,-8.398332577848077e-15,0.998634755877237
3.186156905710265e-14,9.006588351029312e-15,-1.6161660987387428e-14,0.999343481511842
9.861569495017926e-14,1.5652174510769398e-13,-1.0014868876700657e-13,0.9993634652383117
1.6994595186985317e-14,1.1744677472641887e-15,-1.8100004114024652e-14,0.9876050058346177
2.2235179951074147e-15,1.6238795741154177e-14,-1.0429671718780005e-14,0.9990208232887685
3.659629420915477e-15,1.2924607107855081e-14,-6.979611396234189e-15,0.9986027950778816
6.438372478684861e-15,1.0860377008112113e-14,-7.379821866053281e-15,0.9985280361082172
6.735765488331931e-14,-1.3166441697239227e-14,-3.138243027196686e-14,0.9994880393355777
3.8300175430421656e-14,6.399678662372058e-15,-4.4038484691726634e-14,0.9955233686249452
2.9367914561040686e-14,5.573185706191798e-14,-2.963765365965671e-14,0.9465266765802365
3.637936917731564e-14,-1.8772273204227675e-14,-2.4487824020936904e-14,0.8869066165821616
3.1525791866484244e-14,4.9920618712133415e-14,-2.072639776792444e-14,0.9995690121631753
8.252802192550848e-15,2.0222227277334686e-14,-3.741294310612963e-15,0.9875251308373583
1.8161158662825834e-14,1.760158525778867e-15,-7.287132943980388e-14,0.9981181208353296
2.801482653821126e-14,3.192785006387702e-14,-2.8608121336739996e-14,0.9992702745580782
1.3672165843308488e-13,8.888961948617694e-14,-1.4368025101914706e-14,0.9945786536904756
-7.66558187574654e-15,-1.980257097565025e-14,-8.53081221106236e-15,0.9991354054722059
-3.8517657346712965e-14,1.053912757915425e-13,-1.1291642384467035e-13,0.9221776177366416
-1.7905964229746314e-14,-2.846119995513512e-14,-3.477033943431489e-14,0.9835413582697192
2.6951155309189108e-14,4.703457166025372e-14,2.7076528062025757e-14,0.9897499593721404
-5.0827961862069615e-15,-6.051486070549621e-16,-1.0386039518311354e-14,0.9877239355904902
1.4541707909804275e-15,3.377498019590567e-14,7.654503009285857e-16,0.91709868513456
4.1601602726269006e-15,1.9384014346444882e-15,-1.0887202514905221e-14,0.9987440902888267
5.637626622351254e-14,-2.0322973388423857e-14,-7.027313260462946e-14,0.9384611588184966
2.0334192108789355e-14,2.169352539997859e-14,-1.4202199382385937e-14,0.9736841842821669
2.4218999403377816e-16,9.372068323903335e-15,-1.6117443523578274e-14,0.9979326101890222
1.8339763064257274e-13,1.132600420134658e-13,-6.442957182580319e-14,0.9992512900147498
-3.4102708517707715e-14,-1.6548058239497614e-14,-5.657793356425922e-14,0.9991064931152999
