mx_iterative,my_iterative,mz_iterative,r_2_iterative
3.2970443754106503e-13,5.679290613336032e-13,1.806723822667729e-12,0.9974868749516649
3.5342002637973764e-12,-1.5195962822964469e-13,3.760178718304996e-12,0.9925665566856405
-7.779949646440196e-13,3.900420984543651e-13,2.1511184774888065e-12,0.9659491017091162
-1.7997494516433982e-13,1.740214241137257e-13,3.9114636162370566e-13,0.9926836760889736
9.917286160765363e-14,-3.941389701976558e-14,-1.9384177186012723e-13,0.9942708630575912
-1.7964826496723285e-14,2.952076931904483e-14,6.591556074467502e-13,0.9961942169536082
5.186467853594089e-14,1.2179225650203691e-13,2.7869178275791756e-13,0.9989774936769182
6.48748302519598e-12,5.3576198261275625e-12,1.128974633007645e-11,0.9201428363971269
6.485945873940121e-12,2.2485576907203233e-12,6.579385402869457e-12,0.9573126106810912
-1.0869735196153977e-13,-2.8304017862558578e-14,5.406621687531308e-13,0.9973353142126918
-3.6703682577814717e-14,-3.846783051263211e-14,4.4665014105844486e-13,0.9960378715102801
-1.1121663265248551e-10,-8.56838348172009e-11,1.6967184024836927e-10,0.8251704141691103
-1.5769964678245048e-13,-5.123349991325782e-14,-2.496569839404713e-14,0.9528488769191487
-2.0197712660213522e-13,1.6177912405140793e-13,4.249083770209147e-13,0.9735903316942528
2.269770898609448e-13,5.879154199744313e-14,2.2481119315010512e-13,0.9425673876409557
2.4296692495507768e-12,6.71820534241177e-13,4.309842218382437e-12,0.9653707558212073
6.336561584985685e-14,8.431139152535582e-14,2.418741165754776e-13,0.9887326820201645
-1.7687193536679934e-13,5.300555283057404e-13,-2.896098574749359e-13,0.9909544735146073
1.3786967962274392e-12,1.2083243144407535e-13,2.3199957331056238e-12,0.9844131538706273
2.535110984957881e-15,6.600507501845275e-15,-2.9681694814600825e-15,0.35792335202386616
7.33797021480348e-15,9.418547757920257e-15,2.7177276507220823e-13,0.9930079463051696
-3.3079218016088217e-13,6.275822416414474e-14,2.5710371539115235e-13,0.9930194030069959
-8.237602629730428e-15,9.342943895372075e-15,-1.445714793225339e-14,0.9092382554315948
-3.2971347843891404e-15,2.8536014118321274e-14,9.116359672736369e-14,0.991145833300447
9.35996734444081e-12,-2.150963350140547e-12,1.9072172387769397e-11,-0.23462590463983668
-5.379795025865528e-13,-6.883912353511785e-14,-1.938441352860387e-13,0.969054614150691
4.701258727438303e-13,-8.501510690528466e-14,1.951465906328655e-14,0.9527705141081296
-1.1879560371428126e-13,-2.895525226017691e-13,-8.3854685423363e-13,0.9968465572295776
-4.668673033969763e-11,-3.28191582278386e-11,1.3081842423471446e-11,0.9479703725647783
2.0967996015125214e-14,7.72763654500085e-15,-1.2366633605937321e-14,0.8797495985022572
6.804509737280634e-13,3.440962850681989e-11,5.090182252890393e-12,0.9721645526673102
-1.7537082142737655e-14,-1.4957556476394852e-13,-1.3991180873576384e-13,0.9290604335956343
-1.3422054235992497e-13,-9.917565076778975e-15,4.3826862785889793e-13,0.9942812765944639
-3.5373600990407014e-12,1.7125323861219922e-12,1.7318023534070193e-12,0.9809369451356382
4.0580932785845123e-13,2.757479603736942e-13,7.283316495899287e-13,0.9544808313200482
2.9767392951630474e-14,2.6106811373636245e-14,2.560440755760755e-13,0.9959723718517146
-4.4727937386275224e-12,6.750014440058238e-13,4.307365590178299e-12,0.5884566449665518
5.811044472185877e-15,9.67389984887851e-14,5.751000493025853e-14,0.9894806936050947
8.508606647946217e-13,1.9861993946622274e-13,4.819072951506932e-13,0.940687692602483
-2.503131352134148e-12,6.635759958970643e-13,1.4058171452969357e-12,0.9232214451999842
5.728159953256559e-15,1.4842086155291105e-13,2.884642829799464e-13,0.9942018602572673
2.7378911696926667e-15,6.166157331972224e-15,-7.899111012093833e-15,0.8416344076610909
2.8841044806926686e-14,2.136194597212435e-14,-2.4345632276479834e-14,0.9816149973519155
1.1785211955771466e-13,2.3288453180164684e-14,3.046645385884129e-13,0.9958178588421286
-4.588175011911588e-14,3.6540298242193505e-14,5.96204566655894e-14,0.9835904820067141
-1.3111271017392728e-13,-4.2403119236259507e-14,6.1753866188581185e-15,0.9604850348800399
-5.848829104248286e-14,1.031900941922318e-14,5.375961517271651e-14,0.9866695005334063
5.541978560472035e-13,-1.062879242710792e-13,7.066221683023906e-13,0.9906152037084981
2.0602080925410382e-13,-4.07481950595188e-14,3.621133700174114e-13,0.9900417480054492
1.1731217600537265e-13,-3.995642999079173e-14,2.706424853814784e-13,0.9962949506130365
-2.0524368279918586e-14,4.049699951506256e-14,3.936036543271614e-14,0.9931230664687013
1.9796795642849488e-13,1.0555807140884384e-14,1.2724204309794024e-13,0.9580494485485597
-2.157418932140942e-14,7.769146304524933e-15,1.1805807528665895e-13,0.9961823302930298
-2.106275947013874e-13,1.7385440754096353e-13,2.883859190337876e-13,0.9930935445979338
1.7665515737214611e-13,8.80509610398026e-14,3.653198164238066e-14,0.9959944444833427
3.2570795234482057e-13,1.1089704853334738e-13,2.9670762564630614e-13,0.9577247177270307
2.0798758030387673e-17,-6.50442286478457e-14,2.860413227046903e-13,0.9968195576154434
1.0500295410473886e-13,2.5014658163721666e-14,-8.630428973185094e-14,0.976056760933227
-2.6908629443837035e-14,-6.366287686420537e-15,2.6641834592401977e-14,0.9784394296976135
-2.611519378313357e-13,2.3500203515003723e-14,2.4761197040115173e-13,0.978554243521314
-8.337211550654733e-14,-2.6347936272925712e-14,6.281502539837381e-14,0.981159535706732
-6.779076444566717e-14,3.2158653227615164e-13,3.948149732853885e-13,0.9689081196858301
-1.0148892249185654e-14,3.2389368108364007e-14,4.500442804011967e-14,0.9639360831455802
1.820473435899657e-14,2.4850462130503066e-14,4.998305270453336e-14,0.9844126293786946
5.751993712321026e-13,-5.2567546934488415e-15,3.749436396845428e-13,0.9911475877075484
1.1041084652110275e-13,7.883298375515868e-16,2.613913380836267e-13,0.9857616664637734
1.7560293208893483e-14,2.8235355835077853e-15,2.0634255870865234e-14,0.3496936055211807
2.6516992124553774e-14,-2.6884930533027303e-14,5.81746882838011e-14,0.983707165203096
-1.5843218468756574e-13,2.1011478709525623e-13,1.9860327332211684e-13,0.9708288361939592
4.641403831092202e-16,8.178917212086159e-15,2.1301230565790858e-14,0.9779841374399842
-1.4460143082565271e-13,-4.304900133138422e-14,1.1021243883450805e-13,0.9557465708848034
1.1655461892744497e-14,4.904485395331856e-14,2.759334595930739e-14,0.9520025129925862
-4.2104401192159134e-14,3.562268713582779e-14,-4.0552641628153574e-14,0.9814231724090205
4.94365977098396e-14,4.559316836695692e-14,1.217267367105506e-13,0.9734575693080124
3.409584754604881e-13,-2.760769968965515e-13,2.3028861111703397e-13,0.8245522899424422
-7.444615002846143e-14,1.1053398999583883e-13,3.055722074773228e-14,0.9086219041415676
6.668647820633033e-14,3.979730851516293e-13,1.4862325577410181e-13,0.9921730467713208
1.6039268435097674e-14,-1.192655246448855e-13,2.702202009309138e-14,0.9758619698656561
2.794815408485646e-14,4.2150590755983085e-14,2.0882533153459414e-13,0.9326289147046415
1.121544030576228e-12,-3.1786741010783503e-13,-4.789138345961413e-13,0.989131627430675
2.2168289191674915e-14,3.526608754939451e-14,9.42377726012268e-14,0.9896292202204231
1.921707938420097e-14,-5.750680964291403e-14,2.4797205895609235e-14,0.9958478084187806
